Date,Open,High,Low,Close,Volume
2018-08-27,4054.2606401081,4306.6113877058,4017.3187375891,4290.7241652466,10998137386.306
2018-08-26,4077.1291985341,4123.9564378809,3949.0107949394,4054.5462319025,8613284637.3892
2018-08-25,4055.5878826485,4129.5700254223,3997.9635811802,4075.5776441127,8608623111.4515
2018-08-24,3961.4118098901,4075.9279483882,3889.6090953601,4054.0802322432,10875267152.475
2018-08-23,3839.3934811839,3977.7201562216,3814.529300555,3960.1304869682,9329684331.0217
2018-08-22,3984.649055992,4207.83752345,3764.8220933673,3836.2756683585,12261845924.232
2018-08-21,3854.7628732682,4034.8577398433,3829.482583276,3979.9160149984,9200793914.5892
2018-08-20,4137.8506189737,4203.560357848,3847.5952422237,3865.5537150959,10469833218.016
2018-08-19,4030.4372376832,4209.8827231955,3956.5125841536,4133.8368621191,10298845342.301
2018-08-18,4328.0861148732,4406.1186361659,3905.978506331,4031.3060728701,12621300031.126
2018-08-17,3834.0764624948,4352.7773156372,3820.2245157183,4326.5461257861,15027109175.792
2018-08-16,3754.9271017593,3956.3875892629,3709.6458090359,3837.2775763865,11613663199.79
2018-08-15,3716.7406602593,3993.1964117296,3685.3892149948,3756.4084030919,13124887315.296
2018-08-14,3795.0245659073,3811.3063558305,3435.4561602203,3694.7698837082,14239665580.327
2018-08-13,4072.5498317705,4197.0610289768,3766.4941874799,3796.5080911227,11159793368.421
2018-08-12,4056.5177264638,4168.9506315167,4009.5734033016,4067.1764257193,13777923880.505
2018-08-11,4171.9894864596,4229.7760198593,3917.3100442345,4064.0109709365,11239655580.542
2018-08-10,4487.365071069,4534.054718039,4112.0136116657,4171.5117961197,12017788490.744
2018-08-09,4306.8717431841,4576.7226319812,4243.8164795274,4491.1167612969,11550349323.26
2018-08-08,4764.1714063276,4782.4266236779,4227.8423078915,4297.8157714978,14195198676.804
2018-08-07,5012.3749091123,5155.5740248178,4741.4219533284,4766.9215307413,12796378936.462
2018-08-06,5125.3558857894,5224.7919339541,4940.7824111963,5010.3253582321,10438693857.175
2018-08-05,5032.8617660944,5167.658024448,4967.0650963578,5123.7531337388,9661092646.953
2018-08-04,5263.9481778706,5334.5787208185,4975.5871208195,5031.3886269045,10811521223.253
2018-08-03,5261.0979127057,5349.0531278339,5052.2141545949,5264.7772380418,12201225792.945
2018-08-02,5362.0005203151,5439.5655081387,5148.0615873843,5260.9126914082,10937706740.346
2018-08-01,5543.8235182169,5603.9727155836,5297.9981319933,5365.880368101,12864552615.029
2018-07-31,5845.5319866873,5866.1207880676,5449.4826118065,5548.9836229449,13436600545.656
2018-07-30,6016.992240631,6034.5763116921,5681.8937222039,5851.8653828677,15718868205.37
2018-07-29,6021.7234064275,6108.6101627582,5918.9898488767,6010.8950949621,11216059740
2018-07-28,6015.4283261868,6076.6154911782,5911.2969221774,6003.9536786506,10712074380
2018-07-27,5897.6829532077,6089.2229447336,5770.6678843154,6006.3860346936,13499077360
2018-07-26,6042.9860696609,6221.8289641304,5820.7104840277,5901.5820694402,12659029490
2018-07-25,6055.0099124449,6217.6695497976,5890.5489940719,6044.1385496549,15172298630
2018-07-24,5718.465329106,6140.3853691105,5639.2967172871,6091.6728892511,18501611040
2018-07-23,5710.2848976596,5962.5292834776,5628.2274355569,5713.0010284263,12786931670
2018-07-22,5756.6224403305,5895.5334078597,5662.4966696891,5713.8132460653,10002797000
2018-07-21,5631.8236013607,5830.4055713204,5521.0944679052,5763.8772141223,10262027420
2018-07-20,5969.8087226946,6012.0208471675,5574.9375213172,5635.6792404683,13580282070
2018-07-19,6035.1458406639,6157.3550902498,5852.2421925579,5975.2632325083,14501875390
2018-07-18,6089.3548632425,6387.3765141123,5899.7696963363,6043.8856993021,17329809590
2018-07-17,5732.0340112819,6182.5570301885,5598.5636483372,6094.234107869,16073895180
2018-07-16,5336.5893110743,5750.7862348468,5286.4743695835,5743.4904251746,12775982930
2018-07-15,5204.7898420773,5402.1487839814,5168.6072820416,5333.989221354,8896458540
2018-07-14,5194.0169245689,5264.6348664928,5112.4075929141,5208.0306268028,7848238520
2018-07-13,5119.7865576111,5322.3197995471,5083.6715671682,5193.3119802694,10459596200
2018-07-12,5284.5949102818,5296.7307327324,4992.7648831537,5109.0730322709,10234258310
2018-07-11,5217.0845558603,5363.97719667,5138.0076643752,5284.7732405716,10409148540
2018-07-10,5627.5374825001,5662.226700097,5199.2317369221,5217.6876567999,12117328990
2018-07-09,5799.2674720348,5854.7258120318,5614.3506755741,5635.3777582724,10578431570
2018-07-08,5913.654626946,6002.8995778756,5770.9127148773,5799.8587069173,9553279150
2018-07-07,5754.4423614988,5931.0161643659,5593.9022063913,5917.4376323591,10513682840
2018-07-06,5800.8519038495,5860.3692349155,5540.1664918156,5757.2488839467,11611295830
2018-07-05,5870.8798883123,6007.3099916347,5681.4449826875,5802.2258662105,14080578890
2018-07-04,5757.447743046,6078.8643986573,5637.1591452141,5861.1110163309,12008599570
2018-07-03,5872.4043993435,6092.7132419501,5705.110469156,5753.9170464167,13133143150
2018-07-02,5533.5525460317,5968.0164450757,5427.9206332299,5879.186334247,12683631030
2018-07-01,5526.6219093612,5618.6724392805,5370.5216469052,5533.5914004737,13297342380
2018-06-30,5315.7079437231,5634.22166341,5302.2426268938,5520.0426718943,12115529782
2018-06-29,5066.7202410781,5368.707758612,4942.6483523276,5301.2707890132,11050743650
2018-06-28,5357.4290742606,5403.3306212009,5020.1219549756,5062.4623646726,9752958878
2018-06-27,5228.426541639,5407.7987122199,5156.0743672116,5357.9992954862,9452824470
2018-06-26,5539.2014742146,5579.2867350332,5224.972690037,5235.7907407575,9160548412
2018-06-25,5416.3583828314,5649.5183618688,5330.3409807347,5537.5054138091,16733570230
2018-06-24,5594.3506723752,5637.4366003391,5023.2402490021,5426.7170090142,15329040530
2018-06-23,5553.4904411832,5705.9392843113,5451.6284073365,5589.4625323552,10371075075
2018-06-22,6263.3599543934,6286.077601771,5431.9282577795,5549.4503686664,15284369688
2018-06-21,6326.2308956594,6430.8664241485,6197.4292426338,6263.8313477987,9895387364
2018-06-20,6392.9063681212,6436.1848438149,6131.8210779737,6326.5234309446,10949621790
2018-06-19,6307.936591331,6493.2438298865,6234.8995984545,6386.9897660259,11286225392
2018-06-18,6119.5036845577,6386.7636089098,5986.5100338917,6304.9231453706,10756232196
2018-06-17,6165.8447742017,6257.3348243075,6089.8784696316,6126.3145757498,8234234062
2018-06-16,6085.2666048367,6226.9588475545,5999.984339167,6163.1423915814,9029302373
2018-06-15,6394.8366054624,6419.2070349501,6053.755450258,6098.553547358,11298556714
2018-06-14,5982.547204918,6467.8997813782,5893.9074795323,6397.3877947525,15224978700
2018-06-13,6247.9667053024,6307.3990531288,5772.1881118296,5979.490706434,14441898640
2018-06-12,6697.4260621952,6781.4606621805,6139.923671521,6237.5771764892,13330257680
2018-06-11,6574.6876632425,6755.2299658658,6369.3708750026,6707.7934184404,13925345390
2018-06-10,7490.3532143524,7493.8742419055,6391.9693804765,6580.7915239758,17644081050
2018-06-09,7653.4383438793,7768.1932420933,7499.0496284132,7503.7239604564,10509273300
2018-06-08,7742.220348017,7806.1871872181,7513.1393124391,7649.9420505187,11542257610
2018-06-07,7752.7676931487,7927.8871795318,7652.1325108175,7740.5098504739,12479014790
2018-06-06,7782.7407288363,7884.8943781999,7543.8238021795,7743.9365630251,12647915320
2018-06-05,7600.7826444794,7834.5330249251,7379.9060036388,7776.3028282967,13903121390
2018-06-04,7961.2703745008,8071.7482094889,7477.0870233755,7596.1508210638,14272813810
2018-06-03,7754.7790195183,8096.3388564444,7686.2851152543,7938.9113073231,14254416560
2018-06-02,7469.6863512481,7875.5730873962,7401.1268256358,7758.537464544,15877762620
2018-06-01,7405.5947734955,7567.7069665258,7253.5127656621,7469.1004234914,13103229080
2018-05-31,7212.8897536565,7562.9519905816,7142.5302322828,7400.5414194377,13876784860
2018-05-30,7308.8145807511,7520.2758564616,7051.4185809729,7227.5917925346,13582675990
2018-05-29,6879.0973089938,7559.5552234478,6781.5816200549,7425.5064661026,16268415730
2018-05-28,7423.4439862143,7498.4705513617,6794.2438164301,6834.7865736867,14286780580
2018-05-27,7504.7865155581,7541.6343297722,7309.0243582517,7421.6184223189,10877462980
