Date,Open,High,Low,Close,Volume
2020-04-17,2841.46,2875.64,2801.13,2840.49,70487629824
2020-04-16,2638,2860.92,2582.68,2840.86,96780419072
2020-04-15,2716.59,2765.49,2631.12,2638.86,66115956736
2020-04-14,2716.22,2778.41,2685.26,2717.38,69374607360
2020-04-13,2773.82,2780.28,2634.37,2716.03,77738622976
2020-04-12,2727.38,2840.57,2694,2773.3,71843102720
2020-04-11,2724.11,2781.88,2673.48,2727.28,65133903872
2020-04-10,2941.62,2949.28,2661.41,2723.74,86519693312
2020-04-09,2941.37,2986.58,2864.91,2940.46,72571813888
2020-04-08,2816.87,2967.23,2797.98,2941.22,81050869760
2020-04-07,2854.54,2958.56,2783.77,2815.6,91265097728
2020-04-06,2601.66,2862.91,2595.1,2853.7,89170018304
2020-04-05,2627.01,2650.22,2562.06,2600.31,57801601024
2020-04-04,2583.28,2644.84,2554.82,2627.45,62801891328
2020-04-03,2573.12,2659.98,2539.81,2583,72601059328
2020-04-02,2509.81,2677.47,2492.97,2572.25,85699452928
2020-04-01,2471.33,2518.82,2381.24,2510.69,70766837760
2020-03-31,2458.9,2503.78,2424.32,2471.86,62030028800
2020-03-30,2295.7,2491.39,2286.03,2458.75,69011709952
2020-03-29,2411.16,2428.99,2289.98,2296.99,54275469312
2020-03-28,2469.95,2478.96,2335.75,2410.65,67690987520
2020-03-27,2554.83,2605.23,2460.43,2471.71,64529756160
2020-03-26,2493.46,2564.68,2464.4,2553.5,64714338304
2020-03-25,2531.71,2570.36,2445.07,2494.17,78117847040
2020-03-24,2438.95,2569.86,2411.95,2530.5,84326064128
2020-03-23,2242.42,2443.01,2216.14,2435.91,83355713536
2020-03-22,2404.43,2480.48,2232.95,2243.18,73989267456
2020-03-21,2389.44,2472.09,2294.66,2403.43,79264399360
2020-03-20,2422.72,2665.76,2231.89,2389.03,102580936704
2020-03-19,2052.39,2504.95,2043.58,2422.09,94232731648
2020-03-18,2024.29,2088.81,1965.5,2051.21,67343441920
2020-03-17,1948.96,2108.49,1938.78,2026.14,69428592640
2020-03-16,2134.88,2150.03,1794.37,1951.11,84945354752
2020-03-15,2074.23,2292.44,2039.3,2139.07,66104397824
2020-03-14,2210.89,2258.63,2028.43,2075.86,69656952832
2020-03-13,1940.89,2323.43,1579.84,2206.71,148010582016
2020-03-12,3147.03,3159.21,1908.13,1938.49,107773059072
2020-03-11,3209.45,3240.51,3000.3,3146.82,76417966080
2020-03-10,3206.63,3294.71,3144.32,3209,82715017216
2020-03-09,3240.2,3309.26,3042.16,3200.35,100422541312
2020-03-08,3700.91,3709.79,3226.47,3241.15,86438199296
2020-03-07,3835.5,3871.16,3681.39,3702.78,78784110592
2020-03-06,3767.29,3865.2,3732.75,3835.69,84667006976
2020-03-05,3657.71,3841.45,3653.43,3767.36,81489248256
2020-03-04,3665.88,3732.83,3593.59,3656.64,81175511040
2020-03-03,3699.19,3746.16,3598.91,3666.35,115327467520
2020-03-02,3520.02,3744.48,3492.63,3701.27,106372644864
2020-03-01,3539.12,3638.4,3447.56,3519.21,77585358848
2020-02-29,3584.76,3689.46,3521.95,3543.44,77696688128
2020-02-28,3623.16,3717.61,3459.95,3583.26,95571345408
2020-02-27,3576.36,3743.21,3426.89,3618.6,100925038592
2020-02-26,3895.64,3935.04,3469.83,3574.12,113021640704
2020-02-25,4124.19,4139.34,3860.18,3898.19,93202890752
2020-02-24,4311.77,4344.98,4033.25,4124.1,96901857280
2020-02-23,4154.67,4338.65,4134.39,4314.81,87207624704
2020-02-22,4189.85,4230.14,4087.46,4152.52,77129678848
2020-02-21,4127.96,4259.53,4082.37,4188.24,90064068608
2020-02-20,4153.47,4226.28,4019.19,4129.49,102788997120
2020-02-19,4435.58,4519.78,4121.15,4156.77,98363482112
2020-02-18,4249.79,4474.18,4140.86,4433.18,106160922624
2020-02-17,4304.39,4358.9,3975.89,4250.03,109048979456
2020-02-16,4408.37,4553.42,4055.61,4309.12,105761292288
2020-02-15,4761.1,4817.63,4342.29,4402.01,102301851648
2020-02-14,4605.06,4807.63,4524.1,4760.54,98702237696
2020-02-13,4633.39,4786.29,4470.94,4605.62,113921228800
2020-02-12,4440.52,4728.52,4422.73,4635.09,101394235392
2020-02-11,4260,4461.45,4163.7,4440.69,83381608448
2020-02-10,4311.21,4384.83,4132,4259.89,86588407808
2020-02-09,4156.64,4358.54,4131.18,4310.03,79535030272
2020-02-08,4109.01,4219.1,3980.3,4157.82,80811409408
2020-02-07,4058.83,4182,4020.05,4110.12,78304870400
2020-02-06,3995.56,4133.2,3927.81,4058.13,84158005248
2020-02-05,3758.4,4037.2,3735.07,3993.97,79059468288
2020-02-04,3771.74,3830.64,3655.15,3758.46,63915978752
2020-02-03,3751.62,3866.68,3709.02,3771.96,66324766720
2020-02-02,3718.35,3847.42,3633.79,3753.08,68840554496
2020-02-01,3672.67,3765.2,3637.26,3720.15,60521455616
