Date,Open,High,Low,Close,Volume
2021-10-23,25451.9,26241.1,25114.7,25985.3,62294020096
2021-10-22,25478.2,26596.4,24948.3,25442.1,86240419840
2021-10-21,26316.6,27131.9,25179,25466,109904003072
2021-10-20,25064.5,26604.7,24785.6,26282.9,108122136576
2021-10-19,24625.3,25364.4,24323.9,25070.3,76639240192
2021-10-18,24735.9,25272.3,24047.4,24621.9,87221084160
2021-10-17,24847.3,25303.4,23752.2,24727.1,74469867520
2021-10-16,25012.6,25732.1,24542.1,24850.1,74116259840
2021-10-15,24216,25516.4,23638.5,24992,101633884160
2021-10-14,23976.9,24810.9,23694.3,24189.8,93961633792
2021-10-13,23236.5,24283.2,22541,23988.1,94533435392
2021-10-12,23501.2,23796.9,22166.8,23235.1,94327234560
2021-10-11,23070.3,24194.4,22622,23492,85890375680
2021-10-10,24056.7,24441.6,22934,23099.4,84017930240
2021-10-09,23562.1,24500.2,23368.7,24051.3,82313338880
2021-10-08,23730.6,24563.8,23323.5,23583.7,81616044032
2021-10-07,23790.6,24520.1,23036.9,23734.9,87553581056
2021-10-06,23525.3,24485.3,22269.3,23804,112780214272
2021-10-05,22814.7,23937.1,22525.6,23526.7,86674153472
2021-10-04,22952.2,23371.2,21930.6,22792.5,83857571840
2021-10-03,22623.7,23483.3,22289.3,22946.1,72606957568
2021-10-02,22396.3,23309.6,21927.7,22644.6,86216548352
2021-10-01,20500.1,22647.5,20229.2,22400.3,82786557952
2021-09-30,19842.1,20950.8,19738.1,20730.9,72615313408
2021-09-29,19121.5,20255.8,18977.1,19606.1,78362632192
2021-09-28,19732.3,20153.9,18982.8,19101.6,75229306880
2021-09-27,20348.9,21101.6,19672.7,19752.4,81862156288
2021-09-26,20226.6,20842.8,18846,20318.2,95074967552
2021-09-25,20353.1,20777.5,19708,20221.9,83158794240
2021-09-24,21786.4,21912.4,19132.2,20356.9,113337810944
2021-09-23,21305.8,21964,20824.1,21790.5,79900975104
2021-09-22,19103.2,21484.7,18955.8,21311.5,98682888192
2021-09-21,20293,21140.7,18616.7,19115.8,121320669184
2021-09-20,22934.5,22988.9,19852.9,20181.4,130733580288
2021-09-19,23639.5,23864.4,22644.7,22928.6,80844537856
2021-09-18,23129.6,24214.7,22833.7,23649,73595748352
2021-09-17,23852.6,24289,22700.7,23129.5,86430072832
2021-09-16,24268.3,24724.2,23233,23862,89558933504
2021-09-15,23545.3,24597.9,23174.7,24278.9,91566759936
2021-09-14,22731.5,23863.4,22281.5,23535.4,95079006208
2021-09-13,23721.6,24191.6,21626.4,22716.7,121092079616
2021-09-12,22956.4,24217.1,22492.5,23720.6,98928525312
2021-09-11,22497.7,23719.9,22336.8,22942.5,92248317952
2021-09-10,23633.9,24566.8,21943,22507.6,113544716288
2021-09-09,23286.1,24700.2,22577,23641.8,111851356160
2021-09-08,23161.7,24261.5,21359.1,23401.1,151024009216
2021-09-07,27051.5,27590.6,20334.2,23143.1,214735683584
2021-09-06,26745,27716.2,25957.7,27048,126655135744
2021-09-05,25642.6,26987.9,25289.3,26737.9,103268114432
2021-09-04,25504,26367.1,24961.5,25652.8,103029612544
2021-09-03,24789,26095,24289.3,25520.6,118588063744
2021-09-02,24634.6,25550.8,24205.9,24810.1,112735223808
2021-09-01,23269.6,24828.4,22828.8,24650.1,120717041664
2021-08-31,22886.8,24474.6,22551.8,23645.1,112759570432
2021-08-30,23560.5,24100,22499,22884.3,91227045888
2021-08-29,23520.5,24123.4,22891.7,23481.7,73988087808
2021-08-28,23729.2,24044.3,23071.8,23508.8,81105444864
2021-08-27,22052.7,23773.6,21688.8,23710.5,88865030144
2021-08-26,23386.4,23732.9,21699.9,22076.5,90917568512
2021-08-25,22771.9,23623.5,22200.1,23352.8,96649363456
2021-08-24,24336.8,24625.8,22431.5,22756.2,95698984960
2021-08-23,23656.7,24882.4,23507.7,24315,98228002816
2021-08-22,23370.1,24096.3,22818.7,23670.2,89202401280
2021-08-21,23782.1,24217.2,23058.9,23363.2,87144013824
2021-08-20,22795.4,24040.6,22532.1,23780.8,102109650944
2021-08-19,21413.7,22901.7,20870.3,22788,102778486784
2021-08-18,21134.4,22293.8,20531,21448.7,95057715200
2021-08-17,22235.9,23319.2,20920.8,21145.4,111204130816
2021-08-16,22821.3,23759.4,21838,22300,109035225088
2021-08-15,22310.8,23148.9,21432.3,22837.2,109972783104
2021-08-14,22123.1,22817.6,21375.7,22302,105968222208
2021-08-13,20284.4,22171.9,20144,22120.6,97575305216
2021-08-12,20807.1,21603.6,19636.9,20249.1,95856771072
2021-08-11,20100.8,21726.4,19978.1,20818.9,115460743168
2021-08-10,19828.5,20595,19278.7,20093.1,102743203840
2021-08-09,18815.7,20120.2,18250.4,19858.2,99763699712
2021-08-08,19713.3,20068.9,18539,18818.8,91587428352
2021-08-07,18396.1,19964.4,18235.4,19690.4,117336498176
2021-08-06,17820.4,18703,17395.4,18385.2,94778671104
2021-08-05,17395.2,17982.3,16585.7,17814.5,94603599872
2021-08-04,16658.6,17609.2,16347.1,17392.6,71748444160
2021-08-03,17002.5,17297.1,16237.9,16621.2,63962755072
2021-08-02,16981.3,17533.9,16605.4,17011,70881624064
2021-08-01,17261.9,18088.9,16710.7,17004.3,75267440640
2021-07-31,17367.5,17819.7,16993.7,17576.8,68480401408
2021-07-30,16801.3,17482.3,16189.7,17383.8,79184052224
2021-07-29,16524,17000,16187.9,16773.6,65745915904
2021-07-28,16325.8,16925.3,15965.1,16499,78387658752
2021-07-27,15742.3,16472.4,15241.4,16297.1,85299240960
2021-07-26,15339.6,17299.6,15202.1,15768.2,97302994944
2021-07-25,15141.2,15486,14662.2,15330.4,87661387776
2021-07-24,14802.6,15387.2,14629.3,15148.3,55849861120
2021-07-23,14294.5,14879.2,13929,14806.6,57989500928
2021-07-22,14013.5,14483.3,13727,14294.6,57873940480
2021-07-21,12685.7,14403.1,12485.8,13990.8,74229555200
2021-07-20,13249.2,13404.1,12306.8,12697.5,58663489536
2021-07-19,13938.9,14042.1,13134.8,13234.5,60261523456
2021-07-18,13877.9,14409.4,13735,13951.4,43835174912
2021-07-17,13790.1,14196.3,13572,13870.4,51140239360
2021-07-16,14298.4,14594.6,13685.3,13808.9,54882430976
2021-07-15,14843.1,15109.5,13993.4,14272.9,57580539904
2021-07-14,14828.8,15117.9,14065.1,14835.5,54567448576
2021-07-13,15253.9,15394.3,14614.8,14821.4,55420751872
2021-07-12,15793.4,16084.8,14996.1,15267.7,59043180544
2021-07-11,15533,16004.5,15367.7,15787.3,53716041728
2021-07-10,15794.8,16082.1,15298.5,15538.5,51709497344
2021-07-09,15417.5,16029,14921.8,15786,71106732032
2021-07-08,16362.1,16418.8,15149.2,15439.3,72725807104
2021-07-07,16432.9,17021.1,16182,16342.9,71127777280
2021-07-06,15916.3,16794.1,15854.9,16440.2,75701985280
2021-07-05,16643.8,16677.7,15608.4,15926.1,67534254080
